,Maker_name,Top_speed,Power
1,Lamborghini Sian Roadster,>350 kmh/217.48 mp h,774 bhp
2,Pagani Huayra BC Roadster,383 kmh/237.98 mph,745 bhp
3,McLaren Speedtail,403 kmh/250 mph,1036 bhp
4,Aston Martin Valkyrie,402 kmh/250 mph,1160 bhp 
5,Hennessey Venom GT,435.31 kmh/270.8 mph,1244 bhp
6,Koenigsegg Jesko Absolut,483 kmh/300 mph,1280 bhp
7,SSC Tuatara,508.73 kmh/316.11 mph,1750 bhp
8,Bugatti Chiron Super Sport 300+,482.80 kmh/300 mph,1577 bhp
9,Bugatti Bolide,498.89 kmh/310 mph,1824 bhp
10,Koenigsegg CCR,388 kmh/241 mph,806 bhp
